Date,HomeTeam,AwayTeam,GoalDiff,AHh,PCAHH,Residual,Adjustment,Handicap_Pred
2024-08-16,Man United,Fulham,1,-1.0,1.83,2.0,0.2827207417982893,-0.7172792582017107
2024-08-17,Ipswich,Liverpool,-2,1.5,2.04,-3.5,0.4814408601364786,1.9814408601364786
2024-08-17,Arsenal,Wolves,2,-2.0,2.0,4.0,0.44358940902444255,-1.5564105909755575
2024-08-17,Everton,Brighton,-3,0.0,1.86,-3.0,0.31110933013231645,0.31110933013231645
2024-08-17,Newcastle,Southampton,1,-1.5,1.88,2.5,0.33003505568833424,-1.1699649443116658
2024-08-17,Nott'm Forest,Bournemouth,0,0.0,1.94,0.0,0.3868122323563885,0.3868122323563885
2024-08-17,West Ham,Aston Villa,-1,-0.25,1.85,-0.75,0.30164646735430733,0.051646467354307335
2024-08-18,Brentford,Crystal Palace,1,-0.25,2.06,1.25,0.5003665856924966,0.2503665856924966
2024-08-18,Chelsea,Man City,-2,0.5,1.96,-2.5,0.4057379579124065,0.9057379579124065
2024-08-19,Leicester,Tottenham,0,1.0,2.02,-1.0,0.46251513458046056,1.4625151345804606
2024-08-24,Brighton,Man United,1,0.0,2.12,1.0,0.5571437623605506,0.5571437623605506
2024-08-24,Crystal Palace,West Ham,-2,-0.25,1.98,-1.75,0.42466368346842454,0.17466368346842454
2024-08-24,Fulham,Leicester,1,-0.75,1.88,1.75,0.33003505568833424,-0.41996494431166576
2024-08-24,Man City,Ipswich,3,-2.75,1.82,5.75,0.2732578790202804,-2.4767421209797194
2024-08-24,Southampton,Nott'm Forest,-1,0.0,2.03,-1.0,0.47197799735846946,0.47197799735846946
2024-08-24,Tottenham,Everton,4,-1.25,2.01,5.25,0.45305227180245145,-0.7969477281975486
2024-08-24,Aston Villa,Arsenal,-2,0.75,1.98,-2.75,0.42466368346842454,1.1746636834684245
2024-08-25,Bournemouth,Newcastle,0,0.25,1.94,-0.25,0.3868122323563885,0.6368122323563885
2024-08-25,Wolves,Chelsea,-4,0.75,1.99,-4.75,0.43412654624643343,1.1841265462464334
2024-08-25,Liverpool,Brentford,2,-1.75,2.07,3.75,0.5098294484705055,-1.2401705515294945
2024-08-31,Arsenal,Brighton,0,-1.5,2.09,1.5,0.5287551740265235,-0.9712448259734765
2024-08-31,Brentford,Southampton,2,-0.75,2.09,2.75,0.5287551740265235,-0.2212448259734765
2024-08-31,Everton,Bournemouth,-1,0.0,1.87,-1.0,0.32057219291032535,0.32057219291032535
2024-08-31,Ipswich,Fulham,0,0.25,1.83,-0.25,0.2827207417982893,0.5327207417982893
2024-08-31,Leicester,Aston Villa,-1,0.75,2.0,-1.75,0.44358940902444255,1.1935894090244425
2024-08-31,Nott'm Forest,Wolves,0,-0.5,2.01,0.5,0.45305227180245145,-0.046947728197548555
2024-08-31,West Ham,Man City,-2,1.5,1.99,-3.5,0.43412654624643343,1.9341265462464334
2024-09-01,Chelsea,Crystal Palace,0,-1.0,1.85,1.0,0.30164646735430733,-0.6983535326456927
2024-09-01,Newcastle,Tottenham,1,0.0,1.92,1.0,0.36788650680037027,0.36788650680037027
2024-09-01,Man United,Liverpool,-3,0.5,1.92,-3.5,0.36788650680037027,0.8678865068003703
2024-09-14,Southampton,Man United,-3,0.75,1.88,-3.75,0.33003505568833424,1.0800350556883342
2024-09-14,Brighton,Ipswich,0,-1.5,1.89,1.5,0.33949791846634336,-1.1605020815336566
2024-09-14,Crystal Palace,Leicester,0,-1.0,1.87,1.0,0.32057219291032535,-0.6794278070896747
2024-09-14,Fulham,West Ham,0,-0.25,2.04,0.25,0.4814408601364786,0.23144086013647858
2024-09-14,Liverpool,Nott'm Forest,-1,-2.0,1.85,1.0,0.30164646735430733,-1.6983535326456927
2024-09-14,Man City,Brentford,1,-2.0,2.09,3.0,0.5287551740265235,-1.4712448259734765
2024-09-14,Aston Villa,Everton,1,-1.0,1.87,2.0,0.32057219291032535,-0.6794278070896747
2024-09-14,Bournemouth,Chelsea,-1,0.5,1.97,-1.5,0.4152008206904154,0.9152008206904154
2024-09-15,Tottenham,Arsenal,-1,0.25,2.01,-1.25,0.45305227180245145,0.7030522718024514
2024-09-15,Wolves,Newcastle,-1,0.25,1.85,-1.25,0.30164646735430733,0.5516464673543073
2024-09-21,West Ham,Chelsea,-3,0.5,1.9,-3.5,0.34896078124435226,0.8489607812443523
2024-09-21,Aston Villa,Wolves,2,-1.0,1.85,3.0,0.30164646735430733,-0.6983535326456927
2024-09-21,Fulham,Newcastle,2,0.25,1.85,1.75,0.30164646735430733,0.5516464673543073
2024-09-21,Leicester,Everton,0,0.0,1.81,0.0,0.2637950162422713,0.2637950162422713
2024-09-21,Liverpool,Bournemouth,3,-1.75,1.87,4.75,0.32057219291032535,-1.4294278070896747
2024-09-21,Southampton,Ipswich,0,-0.25,2.09,0.25,0.5287551740265235,0.2787551740265235
2024-09-21,Tottenham,Brentford,2,-1.0,2.01,3.0,0.45305227180245145,-0.5469477281975486
2024-09-21,Crystal Palace,Man United,0,0.25,1.74,-0.25,0.19755497679620815,0.44755497679620815
2024-09-22,Brighton,Nott'm Forest,0,-0.75,2.09,0.75,0.5287551740265235,-0.2212448259734765
2024-09-22,Man City,Arsenal,0,-0.75,2.06,0.75,0.5003665856924966,-0.2496334143075034
2024-09-28,Newcastle,Man City,0,1.0,2.04,-1.0,0.4814408601364786,1.4814408601364786
2024-09-28,Arsenal,Leicester,2,-2.0,1.85,4.0,0.30164646735430733,-1.6983535326456927
2024-09-28,Brentford,West Ham,0,-0.25,1.96,0.25,0.4057379579124065,0.15573795791240652
2024-09-28,Chelsea,Brighton,2,-0.75,2.04,2.75,0.4814408601364786,-0.2685591398635214
2024-09-28,Everton,Crystal Palace,1,0.0,1.99,1.0,0.43412654624643343,0.43412654624643343
2024-09-28,Nott'm Forest,Fulham,-1,-0.25,1.85,-0.75,0.30164646735430733,0.051646467354307335
2024-09-28,Wolves,Liverpool,-1,1.5,2.01,-2.5,0.45305227180245145,1.9530522718024514
2024-09-29,Ipswich,Aston Villa,0,0.5,1.83,-0.5,0.2827207417982893,0.7827207417982893
2024-09-29,Man United,Tottenham,-3,-0.25,1.89,-2.75,0.33949791846634336,0.08949791846634336
2024-09-30,Bournemouth,Southampton,2,-0.75,1.77,2.75,0.22594356513023528,-0.5240564348697647
2024-10-05,Crystal Palace,Liverpool,-1,1.0,2.05,-2.0,0.4909037229144875,1.4909037229144875
2024-10-05,Arsenal,Southampton,2,-2.25,1.88,4.25,0.33003505568833424,-1.9199649443116658
2024-10-05,Brentford,Wolves,2,-0.25,2.11,2.25,0.5476808995825415,0.2976808995825415
2024-10-05,Leicester,Bournemouth,1,0.25,1.9,0.75,0.34896078124435226,0.5989607812443523
2024-10-05,Man City,Fulham,1,-1.75,2.01,2.75,0.45305227180245145,-1.2969477281975486
2024-10-05,West Ham,Ipswich,3,-0.75,1.93,3.75,0.3773493695783794,-0.3726506304216206
2024-10-05,Everton,Newcastle,0,0.25,1.92,-0.25,0.36788650680037027,0.6178865068003703
2024-10-06,Aston Villa,Man United,0,-0.25,1.96,0.25,0.4057379579124065,0.15573795791240652
2024-10-06,Chelsea,Nott'm Forest,0,-1.25,2.11,1.25,0.5476808995825415,-0.7023191004174585
2024-10-06,Brighton,Tottenham,1,0.25,1.9,0.75,0.34896078124435226,0.5989607812443523
2024-10-19,Tottenham,West Ham,3,-1.25,1.93,4.25,0.3773493695783794,-0.8726506304216206
2024-10-19,Fulham,Aston Villa,-2,-0.25,2.15,-1.75,0.5855323506945775,0.33553235069457754
2024-10-19,Ipswich,Everton,-2,-0.25,2.11,-1.75,0.5476808995825415,0.2976808995825415
2024-10-19,Man United,Brentford,1,-0.75,1.84,1.75,0.29218360457629844,-0.45781639542370156
2024-10-19,Newcastle,Brighton,-1,-0.5,1.96,-0.5,0.4057379579124065,-0.09426204208759348
2024-10-19,Southampton,Leicester,-1,-0.25,1.93,-0.75,0.3773493695783794,0.1273493695783794
2024-10-19,Bournemouth,Arsenal,2,0.75,1.93,1.25,0.3773493695783794,1.1273493695783794
2024-10-20,Wolves,Man City,-1,1.5,1.85,-2.5,0.30164646735430733,1.8016464673543073
2024-10-20,Liverpool,Chelsea,1,-1.0,1.92,2.0,0.36788650680037027,-0.6321134931996297
2024-10-21,Nott'm Forest,Crystal Palace,1,-0.25,2.04,1.25,0.4814408601364786,0.23144086013647858
2024-10-25,Leicester,Nott'm Forest,-2,0.25,1.83,-2.25,0.2827207417982893,0.5327207417982893
2024-10-26,Aston Villa,Bournemouth,0,-0.5,2.03,0.5,0.47197799735846946,-0.02802200264153054
2024-10-26,Brentford,Ipswich,1,-0.75,1.86,1.75,0.31110933013231645,-0.43889066986768355
2024-10-26,Brighton,Wolves,0,-1.0,1.96,1.0,0.4057379579124065,-0.5942620420875935
2024-10-26,Man City,Southampton,1,-2.5,1.97,3.5,0.4152008206904154,-2.0847991793095844
2024-10-26,Everton,Fulham,0,0.0,1.95,0.0,0.3962750951343974,0.3962750951343974
2024-10-27,Chelsea,Newcastle,1,-0.75,2.06,1.75,0.5003665856924966,-0.2496334143075034
2024-10-27,Crystal Palace,Tottenham,1,0.5,1.96,0.5,0.4057379579124065,0.9057379579124065
2024-10-27,West Ham,Man United,1,0.25,2.05,0.75,0.4909037229144875,0.7409037229144875
2024-10-27,Arsenal,Liverpool,0,0.0,1.96,0.0,0.4057379579124065,0.4057379579124065
2024-11-02,Newcastle,Arsenal,1,0.5,1.95,0.5,0.3962750951343974,0.8962750951343974
2024-11-02,Bournemouth,Man City,1,1.0,1.99,0.0,0.43412654624643343,1.4341265462464334
2024-11-02,Ipswich,Leicester,0,-0.25,2.05,0.25,0.4909037229144875,0.24090372291448747
2024-11-02,Liverpool,Brighton,1,-1.5,2.0,2.5,0.44358940902444255,-1.0564105909755575
2024-11-02,Nott'm Forest,West Ham,3,-0.25,2.06,3.25,0.5003665856924966,0.2503665856924966
2024-11-02,Southampton,Everton,1,0.0,1.93,1.0,0.3773493695783794,0.3773493695783794
2024-11-02,Wolves,Crystal Palace,0,0.0,2.11,0.0,0.5476808995825415,0.5476808995825415
2024-11-03,Tottenham,Aston Villa,3,-0.5,2.0,3.5,0.44358940902444255,-0.05641059097555745
2024-11-03,Man United,Chelsea,0,0.0,2.01,0.0,0.45305227180245145,0.45305227180245145
2024-11-04,Fulham,Brentford,1,-0.5,2.03,1.5,0.47197799735846946,-0.02802200264153054
2024-11-09,Brentford,Bournemouth,1,0.0,1.93,1.0,0.3773493695783794,0.3773493695783794
2024-11-09,Crystal Palace,Fulham,-2,0.0,1.93,-2.0,0.3773493695783794,0.3773493695783794
2024-11-09,West Ham,Everton,0,-0.25,1.88,0.25,0.33003505568833424,0.08003505568833424
2024-11-09,Wolves,Southampton,2,-0.5,1.96,2.5,0.4057379579124065,-0.09426204208759348
2024-11-09,Brighton,Man City,1,0.75,1.85,0.25,0.30164646735430733,1.0516464673543073
2024-11-09,Liverpool,Aston Villa,2,-1.25,2.06,3.25,0.5003665856924966,-0.7496334143075034
2024-11-10,Man United,Leicester,3,-1.5,1.96,4.5,0.4057379579124065,-1.0942620420875935
2024-11-10,Nott'm Forest,Newcastle,-2,0.0,2.0,-2.0,0.44358940902444255,0.44358940902444255
2024-11-10,Tottenham,Ipswich,-1,-1.75,1.88,0.75,0.33003505568833424,-1.4199649443116658
2024-11-10,Chelsea,Arsenal,0,0.0,1.77,0.0,0.22594356513023528,0.22594356513023528
2024-11-23,Leicester,Chelsea,-1,1.25,1.94,-2.25,0.3868122323563885,1.6368122323563885
2024-11-23,Arsenal,Nott'm Forest,3,-1.25,1.96,4.25,0.4057379579124065,-0.8442620420875935
2024-11-23,Aston Villa,Crystal Palace,0,-1.0,1.99,1.0,0.43412654624643343,-0.5658734537535666
2024-11-23,Bournemouth,Brighton,-1,-0.25,1.83,-0.75,0.2827207417982893,0.03272074179828932
2024-11-23,Everton,Brentford,0,-0.25,2.05,0.25,0.4909037229144875,0.24090372291448747
2024-11-23,Fulham,Wolves,-3,-0.75,1.94,-2.25,0.3868122323563885,-0.3631877676436115
2024-11-23,Man City,Tottenham,-4,-1.25,2.08,-2.75,0.5192923112485148,-0.7307076887514852
2024-11-24,Southampton,Liverpool,-1,1.75,2.01,-2.75,0.45305227180245145,2.2030522718024512
2024-11-24,Ipswich,Man United,0,1.0,2.06,-1.0,0.5003665856924966,1.5003665856924966
2024-11-25,Newcastle,West Ham,-2,-1.0,2.05,-1.0,0.4909037229144875,-0.5090962770855125
2024-11-29,Brighton,Southampton,0,-1.5,2.01,1.5,0.45305227180245145,-1.0469477281975486
2024-11-30,Brentford,Leicester,3,-0.75,2.05,3.75,0.4909037229144875,-0.2590962770855125
2024-11-30,Crystal Palace,Newcastle,0,0.25,1.96,-0.25,0.4057379579124065,0.6557379579124065
2024-11-30,Nott'm Forest,Ipswich,1,-0.75,1.94,1.75,0.3868122323563885,-0.3631877676436115
2024-11-30,Wolves,Bournemouth,-2,0.0,1.99,-2.0,0.43412654624643343,0.43412654624643343
2024-11-30,West Ham,Arsenal,-3,1.25,1.94,-4.25,0.3868122323563885,1.6368122323563885
2024-12-01,Chelsea,Aston Villa,3,-0.75,1.96,3.75,0.4057379579124065,-0.3442620420875935
2024-12-01,Man United,Everton,4,-1.0,2.07,5.0,0.5098294484705055,-0.4901705515294945
2024-12-01,Tottenham,Fulham,0,-0.75,1.99,0.75,0.43412654624643343,-0.31587345375356657
2024-12-01,Liverpool,Man City,2,-0.25,2.07,2.25,0.5098294484705055,0.2598294484705055
2024-12-03,Ipswich,Crystal Palace,-1,0.25,1.94,-1.25,0.3868122323563885,0.6368122323563885
2024-12-03,Leicester,West Ham,2,0.25,1.84,1.75,0.29218360457629844,0.5421836045762984
2024-12-04,Everton,Wolves,4,-0.25,1.84,4.25,0.29218360457629844,0.04218360457629844
2024-12-04,Man City,Nott'm Forest,3,-1.5,1.88,4.5,0.33003505568833424,-1.1699649443116658
2024-12-04,Newcastle,Liverpool,0,0.75,1.88,-0.75,0.33003505568833424,1.0800350556883342
2024-12-04,Southampton,Chelsea,-4,1.5,2.07,-5.5,0.5098294484705055,2.0098294484705055
2024-12-04,Arsenal,Man United,2,-1.25,2.07,3.25,0.5098294484705055,-0.7401705515294945
2024-12-04,Aston Villa,Brentford,2,-0.75,1.85,2.75,0.30164646735430733,-0.44835353264569267
2024-12-05,Fulham,Brighton,2,-0.25,1.94,2.25,0.3868122323563885,0.1368122323563885
2024-12-05,Bournemouth,Tottenham,1,0.0,1.95,1.0,0.3962750951343974,0.3962750951343974
2024-12-07,Aston Villa,Southampton,1,-1.5,1.9,2.5,0.34896078124435226,-1.1510392187556477
2024-12-07,Brentford,Newcastle,2,0.25,1.89,1.75,0.33949791846634336,0.5894979184663434
2024-12-07,Crystal Palace,Man City,0,1.0,1.95,-1.0,0.3962750951343974,1.3962750951343974
2024-12-07,Man United,Nott'm Forest,-1,-0.75,1.89,-0.25,0.33949791846634336,-0.41050208153365664
2024-12-08,Fulham,Arsenal,0,1.0,1.83,-1.0,0.2827207417982893,1.2827207417982893
2024-12-08,Ipswich,Bournemouth,-1,0.5,1.96,-1.5,0.4057379579124065,0.9057379579124065
2024-12-08,Leicester,Brighton,0,0.75,2.08,-0.75,0.5192923112485148,1.2692923112485148
2024-12-08,Tottenham,Chelsea,-1,0.5,1.93,-1.5,0.3773493695783794,0.8773493695783794
2024-12-09,West Ham,Wolves,1,-0.5,2.06,1.5,0.5003665856924966,0.00036658569249659045
2024-12-14,Arsenal,Everton,0,-1.75,2.04,1.75,0.4814408601364786,-1.2685591398635214
2024-12-14,Liverpool,Fulham,0,-1.5,2.02,1.5,0.46251513458046056,-1.0374848654195394
2024-12-14,Newcastle,Leicester,4,-1.5,1.98,5.5,0.42466368346842454,-1.0753363165315755
2024-12-14,Wolves,Ipswich,-1,-0.5,2.01,-0.5,0.45305227180245145,-0.046947728197548555
2024-12-14,Nott'm Forest,Aston Villa,1,0.0,1.93,1.0,0.3773493695783794,0.3773493695783794
2024-12-15,Brighton,Crystal Palace,-2,-0.5,1.93,-1.5,0.3773493695783794,-0.12265063042162061
2024-12-15,Man City,Man United,-1,-1.0,2.11,0.0,0.5476808995825415,-0.4523191004174585
2024-12-15,Chelsea,Brentford,1,-1.5,1.88,2.5,0.33003505568833424,-1.1699649443116658
2024-12-15,Southampton,Tottenham,-5,0.75,1.94,-5.75,0.3868122323563885,1.1368122323563885
2024-12-16,Bournemouth,West Ham,0,-0.75,2.0,0.75,0.44358940902444255,-0.30641059097555745
2024-12-21,Aston Villa,Man City,1,0.25,1.96,0.75,0.4057379579124065,0.6557379579124065
2024-12-21,Brentford,Nott'm Forest,-2,-0.25,1.87,-1.75,0.32057219291032535,0.07057219291032535
2024-12-21,Ipswich,Newcastle,-4,0.75,1.99,-4.75,0.43412654624643343,1.1841265462464334
2024-12-21,West Ham,Brighton,0,0.25,2.1,-0.25,0.5382180368045328,0.7882180368045328
2024-12-21,Crystal Palace,Arsenal,-4,1.0,2.15,-5.0,0.5855323506945775,1.5855323506945775
2024-12-22,Everton,Chelsea,0,0.75,2.04,-0.75,0.4814408601364786,1.2314408601364786
2024-12-22,Fulham,Southampton,0,-1.25,2.17,1.25,0.6044580762505958,-0.6455419237494042
2024-12-22,Leicester,Wolves,-3,0.0,1.85,-3.0,0.30164646735430733,0.30164646735430733
2024-12-22,Man United,Bournemouth,-3,-0.5,1.87,-2.5,0.32057219291032535,-0.17942780708967465
2024-12-22,Tottenham,Liverpool,-3,0.75,1.89,-3.75,0.33949791846634336,1.0894979184663434
2024-12-26,Man City,Everton,0,-1.5,2.01,1.5,0.45305227180245145,-1.0469477281975486
2024-12-26,Bournemouth,Crystal Palace,0,-0.5,1.85,0.5,0.30164646735430733,-0.19835353264569267
2024-12-26,Chelsea,Fulham,-1,-1.25,2.02,0.25,0.46251513458046056,-0.7874848654195394
2024-12-26,Newcastle,Aston Villa,3,-0.5,1.95,3.5,0.3962750951343974,-0.1037249048656026
2024-12-26,Nott'm Forest,Tottenham,1,-0.25,1.9,1.25,0.34896078124435226,0.09896078124435226
2024-12-26,Southampton,West Ham,-1,0.25,1.91,-1.25,0.3584236440223614,0.6084236440223614
2024-12-26,Wolves,Man United,2,0.5,1.88,1.5,0.33003505568833424,0.8300350556883342
2024-12-26,Liverpool,Leicester,2,-2.75,1.99,4.75,0.43412654624643343,-2.3158734537535666
2024-12-27,Brighton,Brentford,0,-1.0,2.04,1.0,0.4814408601364786,-0.5185591398635214
2024-12-27,Arsenal,Ipswich,1,-2.25,2.01,3.25,0.45305227180245145,-1.7969477281975486
2024-12-29,Leicester,Man City,-2,1.5,1.98,-3.5,0.42466368346842454,1.9246636834684245
2024-12-29,Crystal Palace,Southampton,1,-1.0,1.88,2.0,0.33003505568833424,-0.6699649443116658
2024-12-29,Everton,Nott'm Forest,-2,0.0,1.86,-2.0,0.31110933013231645,0.31110933013231645
2024-12-29,Fulham,Bournemouth,0,-0.25,1.97,0.25,0.4152008206904154,0.16520082069041542
2024-12-29,Tottenham,Wolves,0,-1.0,1.83,1.0,0.2827207417982893,-0.7172792582017107
2024-12-29,West Ham,Liverpool,-5,1.5,1.87,-6.5,0.32057219291032535,1.8205721929103253
2024-12-30,Aston Villa,Brighton,0,-0.5,1.87,0.5,0.32057219291032535,-0.17942780708967465
2024-12-30,Ipswich,Chelsea,2,1.25,1.81,0.75,0.2637950162422713,1.5137950162422713
2024-12-30,Man United,Newcastle,-2,0.0,2.01,-2.0,0.45305227180245145,0.45305227180245145
2025-01-01,Brentford,Arsenal,-2,1.25,1.71,-3.25,0.16916638846218102,1.419166388462181
